isobaric_level,Pa,altitude
0,1000.0,84998.22524499081
1,2000.0,76487.0117634869
2,3000.0,70962.33666780342
3,5000.0,63366.94833197726
4,7000.0,57945.19431942136
5,10000.0,51805.97785610506
6,15000.0,44301.68886032521
7,20000.0,38615.04578747712
8,25000.0,33984.70403858458
9,30000.0,30052.739831132523
10,35000.0,26620.215037948583
11,40000.0,23564.346609384953
12,45000.0,20803.669294679
13,50000.0,18281.18084128231
14,55000.0,15955.33509153587
15,60000.0,13794.855678094524
16,65000.0,11775.570232137085
17,70000.0,9878.385043966826
18,75000.0,8087.938278261361
19,80000.0,6391.674915610885
20,85000.0,4779.1936018229135
21,90000.0,3241.7743949159626
22,92500.0,2498.860177509948
23,95000.0,1772.030169751166
24,97500.0,1060.526303792178
25,100000.0,363.6445785569385
