longitude,latitude,altitude,timestamp,Pressure_surface,Relative_humidity_isobaric,Temperature_isobaric,Wind_speed_gust_surface,u-component_of_wind_isobaric,v-component_of_wind_isobaric,latent1,latent2,latent3,episode
1.698923700736306497e+00,1.931910473496049052e+00,-1.831081691704892433e+00,9.646472281333836607e-01,9.857432990381370663e-01,-6.124842157195483638e-01,1.804669134812085129e+00,-3.600477767925734374e-01,-1.204321279751439988e+00,-1.124954376954761803e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.700829499367214837e+00,1.923142136338558128e+00,-1.813530721150929503e+00,9.646560608632338552e-01,9.857432990381370663e-01,-6.124842157195483638e-01,1.804669134812085129e+00,-3.600477767925734374e-01,-1.204321279751439988e+00,-1.124954376954761803e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.703669856226542212e+00,1.913469734412720724e+00,-1.804330107383500081e+00,9.646648935930839386e-01,9.857432990381370663e-01,-6.124842157195483638e-01,1.804669134812085129e+00,-3.600477767925734374e-01,-1.204321279751439988e+00,-1.124954376954761803e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.705623471239953615e+00,1.903075549640180553e+00,-1.790504367885415338e+00,9.646737263229340220e-01,9.857432990381370663e-01,-6.124842157195483638e-01,1.804669134812085129e+00,-3.600477767925734374e-01,-1.204321279751439988e+00,-1.124954376954761803e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.707704561476297567e+00,1.893131589214681387e+00,-1.762938332115032480e+00,9.646825590527841054e-01,9.857432990381370663e-01,-5.046563843238426328e-01,1.695883755753932576e+00,-3.600477767925734374e-01,-1.223376481950035677e+00,-1.627476602388462645e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.708746950555190436e+00,1.889934029381876490e+00,-1.747106272765390100e+00,9.646913917826341889e-01,9.857432990381370663e-01,-5.046563843238426328e-01,1.695883755753932576e+00,-3.600477767925734374e-01,-1.223376481950035677e+00,-1.627476602388462645e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.713242529864229979e+00,1.889071943595265202e+00,-1.725331646419064446e+00,9.647002245124842723e-01,9.857432990381370663e-01,-5.046563843238426328e-01,1.695883755753932576e+00,-3.600477767925734374e-01,-1.223376481950035677e+00,-1.627476602388462645e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.716112333073548823e+00,1.885094598385404607e+00,-1.699143174496612341e+00,9.647090572423343557e-01,9.857432990381370663e-01,-4.246550900625122305e-01,1.606877536524539130e+00,-3.600477767925734374e-01,-1.238197194771165854e+00,-2.943606240429108012e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.716518100606965413e+00,1.874093730240716127e+00,-1.681149020352713297e+00,9.647178899721844392e-01,9.857432990381370663e-01,-4.246550900625122305e-01,1.606877536524539130e+00,-3.600477767925734374e-01,-1.238197194771165854e+00,-2.943606240429108012e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.717694617447207861e+00,1.859629222831107320e+00,-1.670854981710516052e+00,9.647267227020345226e-01,9.857432990381370663e-01,-4.246550900625122305e-01,1.606877536524539130e+00,-3.600477767925734374e-01,-1.238197194771165854e+00,-2.943606240429108012e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
