dlon,dlat,dalt,episode
3.540053565334975616e+00,5.509170176191953150e-01,3.256296834892677516e+00,1.000000000000000000e+00
3.970973017109110437e+00,-1.616697712698409228e+00,2.907610796748440585e+00,1.000000000000000000e+00
3.618342041316721325e+00,-7.511890632857871619e-01,2.827175978724416172e+00,1.000000000000000000e+00
3.273941018178172957e+00,-1.638317623668608558e+00,2.144673030077137721e+00,1.000000000000000000e+00
4.968913069182891995e+00,-1.221249558288888704e+00,1.793295289245608881e+00,1.000000000000000000e+00
3.575937234778582496e+00,-1.894737957382457871e+00,2.460605752004362934e+00,1.000000000000000000e+00
2.558364365231936777e+00,-2.041993018753733846e+00,1.420168515235934681e+00,1.000000000000000000e+00
2.506483816627646632e+00,-1.477427633605712165e+00,1.415408505659513816e+00,1.000000000000000000e+00
2.540071007630786415e+00,-2.491029324512942900e+00,1.123464163375791580e+00,1.000000000000000000e+00
3.091611687985614587e+00,-1.634861226612124963e+00,1.792665534831443530e+00,1.000000000000000000e+00
1.936504515252505332e+00,-8.297419040556768266e-01,7.448614008941769615e-01,1.000000000000000000e+00
1.454747925287338095e+00,-2.307479127500189353e+00,1.831931371884206516e+00,1.000000000000000000e+00
2.531332170336058063e+00,-7.787429299435214558e-01,1.926307805704833287e+00,1.000000000000000000e+00
1.520197661526629496e+00,-1.119879567546201216e+00,1.622034861409136886e+00,1.000000000000000000e+00
2.683831034981686514e+00,-2.129125071034406513e+00,2.258047652372604297e+00,1.000000000000000000e+00
2.144318631704031475e+00,-2.712608283245235619e+00,2.284330495186185139e+00,1.000000000000000000e+00
2.493585464949744868e+00,-2.361423095386847582e+00,1.650023907720474137e+00,1.000000000000000000e+00
2.158704105861976252e+00,-2.318400516794550725e+00,2.096966640240588209e+00,1.000000000000000000e+00
1.531879398735985331e+00,-8.994309160703046757e-01,3.029147545832949540e+00,1.000000000000000000e+00
4.481339288080530281e-01,-1.988686611529184578e+00,2.348963130492148998e+00,1.000000000000000000e+00
2.271653592995415138e+00,-1.751259356969545822e+00,2.654132458132326455e+00,1.000000000000000000e+00
1.896974387765244074e+00,-1.933840155828483232e+00,3.503911476358385180e+00,1.000000000000000000e+00
2.445714033881572824e+00,-6.181470670136014478e-01,3.435634805543180903e+00,1.000000000000000000e+00
2.405545675012117357e+00,-8.962205647294811950e-01,2.273908309497337576e+00,1.000000000000000000e+00
2.143722049404452434e+00,-1.472036683305226079e+00,3.642960607015939711e+00,1.000000000000000000e+00
1.457042027800085515e+00,-1.634319636020051369e+00,3.303871401685590126e+00,1.000000000000000000e+00
2.253617723718655874e+00,-1.297599261734368570e+00,3.567769899925214983e+00,1.000000000000000000e+00
1.669863295770905420e+00,-1.589476458207531806e+00,2.750786102367593688e+00,1.000000000000000000e+00
6.332577235252175862e-01,-1.139492030868582084e+00,3.402603829876046593e+00,1.000000000000000000e+00
6.702674823629497514e-01,-1.557879439393605736e+00,3.767027954275442791e+00,1.000000000000000000e+00
8.608603932963596606e-01,-1.477350529755452113e+00,2.992202154368531097e+00,1.000000000000000000e+00
-3.275797490763876496e-02,-1.503350371160203647e+00,2.818959492563585911e+00,1.000000000000000000e+00
9.732642752589755197e-01,-4.783613359651568420e-01,2.056700998653258061e+00,1.000000000000000000e+00
4.790321493587362811e-01,-2.248081479156386564e+00,2.539962046613762681e+00,1.000000000000000000e+00
2.164086876573955820e+00,-1.828967887051086372e+00,2.319661812287282299e+00,1.000000000000000000e+00
1.772760700903374120e-01,-8.381686033432751426e-01,1.916692801013444081e+00,1.000000000000000000e+00
1.792461300350604692e+00,-1.107086215411628549e+00,2.478956973921053297e+00,1.000000000000000000e+00
9.215249986123612569e-01,-1.967705383225396121e+00,1.379342862417342941e+00,1.000000000000000000e+00
-2.680550691087748572e-01,-1.295498667148366145e+00,1.277883683849631247e+00,1.000000000000000000e+00
1.031751372587117244e+00,-1.364690475978007633e+00,1.394664160179716950e+00,1.000000000000000000e+00
2.315259556304559152e-01,-1.725775437243460164e+00,1.190032107183310206e+00,1.000000000000000000e+00
3.070876087749427885e-01,-1.736662167471597407e+00,-6.932728308328583999e-02,1.000000000000000000e+00
7.117623462938820200e-01,-1.745602658000400931e+00,1.997921860203839550e+00,1.000000000000000000e+00
4.142635969067746116e-01,-1.247197970498953978e+00,2.620082265260067267e+00,1.000000000000000000e+00
3.831945321393823156e-02,-7.254210800638343226e-01,2.030907459717410379e+00,1.000000000000000000e+00
1.699665800008375305e-01,-1.804505390993617953e+00,2.636172729753319288e+00,1.000000000000000000e+00
-5.361106966980222488e-01,-4.225457251416145366e-01,2.627939648945836648e+00,1.000000000000000000e+00
-6.773530319293146196e-01,-1.707574175575369946e+00,2.136661018409301338e+00,1.000000000000000000e+00
-1.324256290808415004e+00,-1.520251825483325714e+00,3.304825523080631378e+00,1.000000000000000000e+00
-9.272340112569679160e-01,-9.108578726884244414e-01,2.050320043754607191e+00,1.000000000000000000e+00
-2.290181156250025385e+00,-3.026075004225847742e-01,1.334720931354980156e+00,1.000000000000000000e+00
-1.027211837178993337e+00,4.349406743644362305e-01,2.625747676206391379e+00,1.000000000000000000e+00
-2.217522433016005934e+00,2.983286837426725735e-01,1.721453914257724982e+00,1.000000000000000000e+00
-1.164409946352303660e+00,4.026196884197025261e-01,1.961801219191085854e+00,1.000000000000000000e+00
-1.553025448493239979e+00,-2.943921164490614917e-01,1.452984024768369853e+00,1.000000000000000000e+00
-1.937450626837704082e+00,2.832009252597418314e-01,8.754022608783436077e-01,1.000000000000000000e+00
-5.592742475633543098e-01,-3.166635183736390968e-02,1.640487600355334141e+00,1.000000000000000000e+00
-7.018431858290289371e-01,1.498564457952361872e-01,2.205981421948516541e+00,1.000000000000000000e+00
-1.814621998645953305e-01,6.452132970175086801e-02,1.891122545329628979e+00,1.000000000000000000e+00
-1.479819639600607362e+00,4.025207924465067366e-01,1.016258241017259589e+00,1.000000000000000000e+00
-1.170752881695903191e+00,-1.267806850991897605e+00,1.600836976533583478e+00,1.000000000000000000e+00
-1.682506449049089969e+00,5.030773016748222304e-01,1.096975085336664657e+00,1.000000000000000000e+00
-3.106912123605610754e-01,1.201449845649467774e+00,2.032915745278126796e+00,1.000000000000000000e+00
-8.912106633127307997e-01,3.584915209465192043e-01,1.510927771393269836e+00,1.000000000000000000e+00
-7.891720103546339127e-01,5.436424586331436992e-02,6.607290765543254452e-01,1.000000000000000000e+00
3.115872690422957225e-01,-4.997936031786234801e-01,1.926404346919454502e+00,1.000000000000000000e+00
-6.123217218955100405e-01,-1.091513229481131386e-01,1.858967098158531339e+00,1.000000000000000000e+00
5.826930441962696605e-03,6.691441378265682305e-01,1.268296017042830348e+00,1.000000000000000000e+00
-9.137244838268135938e-01,-6.748654187667524340e-01,1.170665681264578151e+00,1.000000000000000000e+00
-3.898097158885759916e-01,-4.241069996596291136e-01,1.588678486927158406e+00,1.000000000000000000e+00
-6.009623369952850069e-01,-3.299947811393830199e-01,1.158817184315233284e+00,1.000000000000000000e+00
-5.381678536383733835e-01,-1.588964101564239506e+00,3.312252701970141544e+00,1.000000000000000000e+00
-2.464913297646353474e+00,3.827336478599316361e-02,1.464367839567112695e+00,1.000000000000000000e+00
-2.896702144753106056e-01,-8.439070371375838597e-01,7.689948594139438542e-01,1.000000000000000000e+00
9.093362071762811638e-02,-8.535627455038389266e-01,2.894100140033854629e+00,1.000000000000000000e+00
9.926579624406762781e-01,-6.060974158526497568e-01,1.243878044746608236e+00,1.000000000000000000e+00
3.117359351620631047e-01,-1.937255031287537510e-01,1.055496385859709951e+00,1.000000000000000000e+00
-9.520826076519451897e-01,-8.276041906273862159e-02,6.646092655073818634e-01,1.000000000000000000e+00
-4.066069652058441064e-01,-7.014420302027585263e-01,1.523900105735103372e+00,1.000000000000000000e+00
-8.902198115183557192e-01,-8.840219503741828522e-01,1.423462757738657603e+00,1.000000000000000000e+00
-1.824344116678089378e-03,6.593834013500902147e-01,1.367555287955688481e+00,1.000000000000000000e+00
-1.055277222866731535e+00,-5.841395675392696551e-01,1.901963787057269428e+00,1.000000000000000000e+00
6.847558386427998744e-02,-1.270298024833012906e+00,8.802695612482362986e-01,1.000000000000000000e+00
-5.827770003589828329e-01,7.492769312507916446e-01,2.667185537733913758e-01,1.000000000000000000e+00
