action1,action2,action3
-0.6049138,1.5424075,1.0388197
-0.95322627,0.7615882,0.99823195
-0.4976911,1.1001915,0.9231827
-0.4824941,0.9255173,0.8738301
-0.534823,0.63770914,0.85342705
-0.5784233,0.3160802,0.8431337
-0.66918975,0.107296154,0.76720864
-0.83692366,0.35563973,0.42035377
-0.81140226,0.5469289,0.06483351
-0.6923622,0.704632,-0.20375618
-0.60768807,0.7825313,-0.3501533
-0.57127786,0.8160682,-0.39633983
-0.5662728,0.8355196,-0.363224
-0.57921845,0.850478,-0.2785565
-0.60313386,0.85419816,-0.17856507
-0.6220845,0.8392557,-0.089250416
-0.6347133,0.798626,-0.019412778
-0.64246565,0.73221624,0.03155311
-0.64659446,0.64401597,0.06697282
-0.64746815,0.5395138,0.090587206
-0.6438211,0.42598936,0.10550713
-0.6504335,0.3109295,0.10798252
-0.65310156,0.20948933,0.09794263
-0.6081974,0.4281221,0.24894537
-0.63320655,0.5214287,0.39040822
-0.6669564,0.5163194,0.48481277
-0.6567685,0.48321438,0.548934
-0.65154344,0.40869954,0.5981447
-0.64771277,0.31485382,0.6405334
-0.6399633,0.2133854,0.67768383
-0.5521786,0.17379345,0.65483874
-0.61756694,0.028465118,0.6335277
-0.6314703,-0.05003154,0.6053531
-0.6408006,-0.12076387,0.57552093
-0.6151711,-0.139517,0.54512507
-0.6091433,-0.16286246,0.5198856
-0.5979759,-0.16611813,0.49973917
-0.60255647,-0.17637032,0.4862659
-0.5991617,-0.17050114,0.47819436
-0.608521,-0.17387682,0.4763334
-0.6078097,-0.16403122,0.47891736
-0.6181593,-0.16518237,0.48643735
-0.617081,-0.15463474,0.4968818
-0.6266554,-0.15622942,0.5108401
-0.62389493,-0.14632367,0.5261782
-0.6324711,-0.1494282,0.5438538
-0.62778544,-0.140179,0.561576
-0.63597715,-0.14492294,0.5808537
-0.62949425,-0.13552488,0.5992819
-0.6383809,-0.14187555,0.6187865
-0.6302418,-0.13185892,0.63620883
-0.6405191,-0.13964623,0.65418375
-0.63069624,-0.12831812,0.6689739
-0.64308,-0.13716713,0.6838233
-0.63160706,-0.12411253,0.69436544
-0.6464813,-0.13338429,0.7042381
-0.6336688,-0.11866336,0.7086476
-0.65082103,-0.12721765,0.71119845
-0.6376188,-0.111432716,0.707155
-0.6560164,-0.117574826,0.6994602
-0.64421636,-0.101685636,0.6840639
-0.6620976,-0.1035585,0.66263235
-0.65400225,-0.08829939,0.63219863
-0.6696613,-0.08461469,0.59286964
-0.66714686,-0.06976808,0.54256064
-0.68012255,-0.06014879,0.48013481
-0.68367004,-0.044101108,0.4040615
-0.69587994,-0.028839389,0.31176272
-0.70559466,-0.009649992,0.2006536
-0.7748213,0.024328886,0.08390916
-0.833471,0.07728357,-0.02838081
-0.83211327,0.11481406,-0.15793383
-0.8359505,0.114997566,-0.29988888
