action1,action2,action3
-0.0042719245,2.1270525,1.8920922
-0.32961756,1.2511482,1.8017809
0.15446517,1.6048526,1.6753551
0.16936319,1.3669217,1.581864
0.11489068,0.99554706,1.5404576
0.069123775,0.5791624,1.5180753
-0.06505543,0.35847694,1.329415
-0.26142883,0.6253153,0.6825677
-0.16284698,0.92959213,0.000133425
-0.030002683,1.1231164,-0.45989504
0.052085727,1.2124399,-0.6979042
0.08167276,1.2479645,-0.7607976
0.08146936,1.2678542,-0.6857587
0.063302696,1.2810178,-0.5243596
0.035060704,1.2784168,-0.341283
0.013561606,1.2512302,-0.18055686
-0.00023752451,1.1910937,-0.055669814
-0.008347213,1.0979759,0.03507468
-0.012285054,0.97687244,0.097862944
-0.011814117,0.8348267,0.13939346
-0.009491563,0.6821953,0.1638372
-0.018361717,0.532121,0.16267228
-0.01909563,0.40162498,0.1398051
-0.0131596625,0.31203702,0.122861624
0.062120736,0.6772889,0.4766387
0.04116571,0.7358455,0.7178196
-0.0061098933,0.6809826,0.88088274
-0.029868752,0.59956867,0.9995457
-0.02115339,0.5094178,1.0900602
0.03618741,0.43524095,1.118177
0.016553521,0.3047952,1.1124073
-0.0021756887,0.19456878,1.0912194
-0.008305758,0.10308206,1.0589727
-0.010131955,0.014743894,1.0205636
0.007519692,-0.04365295,0.9787942
0.041294336,-0.05468139,0.93927336
0.039159894,-0.08693838,0.9097948
0.05529809,-0.077954024,0.8869171
0.04081005,-0.09273392,0.8756205
0.048176974,-0.072597414,0.87117946
0.028828502,-0.07976496,0.877259
0.034323454,-0.056316286,0.8882538
0.014820695,-0.06289354,0.9076469
0.022322476,-0.040302306,0.92922807
0.0042474866,-0.049760163,0.9572449
0.015181929,-0.028867722,0.98479116
-0.0020635724,-0.04222071,1.0175045
0.012515128,-0.02176091,1.047592
-0.0056037903,-0.038841844,1.0825543
0.012446016,-0.017221719,1.1125536
-0.008314788,-0.03794229,1.1469858
0.013520539,-0.013473988,1.1739115
-0.011487842,-0.03742841,1.2050695
0.014477909,-0.008948147,1.2260994
-0.015888661,-0.035397798,1.2507848
0.014252722,-0.00282529,1.2627249
-0.021543562,-0.030103117,1.2767309
0.011719704,0.0051944554,1.2757366
-0.027890533,-0.019817889,1.2736373
0.005553305,0.015437394,1.2549618
-0.034228384,-0.0031245947,1.2302357
-0.005395055,0.028931469,1.1878061
-0.040584207,0.020566493,1.1330427
-0.021383405,0.047776014,1.0588033
-0.048606634,0.051087916,0.96528447
-0.041616917,0.07488364,0.848652
-0.06129262,0.089077294,0.70610726
-0.066117615,0.113117754,0.5334114
-0.083153844,0.13629156,0.32488444
-0.13924184,0.17543453,0.09504406
-0.24086195,0.23901975,-0.11365238
-0.22859985,0.2999873,-0.3563498
-0.2412864,0.3040468,-0.6238177
-0.21601433,0.30327734,-0.88278913
-0.18905586,0.35357288,-1.0487312
-0.21224266,0.4067565,-1.1699964
-0.24319941,0.4529262,-1.3028322
-0.2636307,0.4862258,-1.4560583
-0.26507348,0.4844176,-1.6246089
-0.23247099,0.42817977,-1.7937182
-0.16049203,0.30359414,-1.9466902
-0.05241087,0.112333804,-2.0756013
0.081541,-0.13101342,-2.1835976
0.22981519,-0.40537664,-2.2837937
0.3822509,-0.6914754,-2.3945029
0.532495,-0.9793167,-2.5315764
0.68122697,-1.2731309,-2.7027018
0.7055473,-1.66587,-2.787285
0.70527995,-2.0423388,-2.877299
0.71831524,-2.3935347,-2.9812012
0.7174983,-2.6869988,-3.0594988
0.69519234,-2.8996837,-3.0903566
0.65272826,-3.0284472,-3.0507853
0.5871123,-3.068259,-2.9150703
0.48851842,-3.0079808,-2.6624343
0.3140273,-2.7871215,-2.2340465
0.031723112,-2.3343039,-1.5847458
-0.22016972,-1.804111,-0.841699
-0.56822807,-0.7756642,0.065590724
-0.39322877,0.43491256,0.4217045
-0.45051855,1.5466923,0.7127757
-0.5681314,2.1243484,0.97574544
-0.51595265,2.316146,1.1351593
-0.43300843,2.3254611,1.1606532
-0.36538893,2.1353998,1.050695
-0.31620842,1.7208819,0.8178793
-0.26809686,1.1177547,0.566468
-0.2177248,0.3939315,0.36268654
0.060231328,0.07728809,0.06489533
0.21205522,-0.09212765,-0.10055292
0.2556048,-0.17311767,-0.17132995
0.24241307,-0.18015578,-0.18499884
0.19668521,-0.14102542,-0.15488786
0.14110704,-0.07906538,-0.09638217
0.08842218,-0.01406616,-0.023025542
0.04588729,0.043163657,0.055124238
0.015014797,0.08751267,0.13381195
-0.004506707,0.11808902,0.21176328
-0.014013797,0.13626418,0.2884626
-0.014900744,0.14571628,0.3625896
-0.008997619,0.15184495,0.4322617
0.0016173422,0.16070187,0.49577087
0.0023386478,0.27056995,0.65389425
0.22721936,0.44074178,0.7006389
0.7400557,0.5722263,0.5402123
0.9966243,0.4720774,0.457673
1.195019,0.50590146,0.47968572
1.3296245,0.47903824,1.0986115
1.3185055,0.1425032,1.4765335
1.3122048,-0.028868169,1.7091889
1.328495,-0.12066707,1.8436406
1.3701503,-0.16469204,1.9192832
1.4322221,-0.17604235,1.9572155
1.5067322,-0.16599122,1.9687896
