action1,action2,action3
-0.03738749,2.1310709,1.8920103
-1.8507242e-05,1.9175632,1.7981783
0.018359452,1.6579348,1.7171632
0.02956438,1.3548884,1.657314
0.03527832,1.0043962,1.610787
0.036913753,0.6125351,1.563934
-0.06906551,0.40807158,1.3499445
-0.25696248,0.6757897,0.68599975
-0.14239585,0.9897419,-0.009409279
-0.009495109,1.1805257,-0.46271488
0.06855351,1.267448,-0.6913655
0.092421055,1.2996432,-0.7472956
0.088280395,1.3160317,-0.67002594
0.0681521,1.3250794,-0.5108229
0.038732976,1.3182863,-0.33191332
0.016063154,1.287981,-0.1751365
0.0013138354,1.2267759,-0.053402662
-0.0074135065,1.1346393,0.0351547
-0.011757791,1.0161602,0.09649935
-0.012022704,0.87722313,0.13699846
-0.01123479,0.7298374,0.15952775
-0.019062042,0.58773875,0.15646827
-0.019090652,0.46432877,0.1330516
0.018411577,0.64537984,0.32422963
0.050337017,0.8509182,0.61688995
0.0019057691,0.84588563,0.8117323
-0.031680763,0.7889669,0.94805384
-0.022146076,0.7194656,1.0471385
-0.016990423,0.61531913,1.1293863
0.016215593,0.51645494,1.1781365
0.052150786,0.42738044,1.153697
0.009473145,0.28944334,1.1219064
-0.0014638901,0.19806206,1.079133
-0.007142365,0.11336881,1.031894
-0.008381277,0.028918833,0.9834745
0.0023920238,-0.04118672,0.936376
0.043808997,-0.047584504,0.8934336
0.036034346,-0.0919894,0.864123
0.060204268,-0.07811719,0.8419533
0.039821684,-0.10337448,0.8341589
0.05463022,-0.076601565,0.83311796
0.028478652,-0.09237346,0.84470916
0.040825903,-0.060560554,0.8604046
0.013646364,-0.0746097,0.88606524
0.027922392,-0.042404205,0.91235995
0.0014652312,-0.059194535,0.9463713
0.01974836,-0.027814,0.9776634
-0.0065971613,-0.049274504,1.015457
0.016516834,-0.017551571,1.0477293
-0.011686474,-0.04419759,1.0866361
0.016619861,-0.010305941,1.1171861
-0.015764207,-0.042627066,1.1545128
0.018597782,-0.0045448244,1.180343
-0.020170242,-0.04234788,1.2135185
0.020985216,0.0013282299,1.2320718
-0.02573073,-0.04100886,1.2580862
0.022325635,0.008106083,1.2665879
-0.032320023,-0.036239743,1.2812712
0.020930588,0.015922144,1.2763879
-0.038952857,-0.02569586,1.2741555
0.014822453,0.02494821,1.2516265
-0.044431746,-0.007641822,1.2257246
0.0024134219,0.03639324,1.1797214
-0.04867363,0.018256187,1.1226252
-0.01633352,0.053050607,1.0449057
-0.054009378,0.051120535,0.9479265
-0.039618522,0.07874912,0.82752705
-0.06464368,0.0910157,0.6804918
-0.06666505,0.11665842,0.5027697
-0.08576706,0.13970828,0.28830844
-0.16426808,0.18418787,0.064853415
-0.23452133,0.25027567,-0.14825389
-0.231341,0.29884845,-0.39397028
-0.23591441,0.2990424,-0.66295433
-0.20833737,0.3059805,-0.9057529
-0.18938398,0.35807186,-1.0605812
-0.21549076,0.41040507,-1.1809149
-0.24554545,0.45640662,-1.315338
-0.26482004,0.4864578,-1.4708433
-0.2625991,0.47898155,-1.6408619
-0.22515768,0.41447437,-1.8094379
-0.14808404,0.28095597,-1.9604782
-0.035963953,0.081950426,-2.0873172
0.10055812,-0.1665993,-2.194496
0.2499342,-0.4434035,-2.2960951
0.40235555,-0.72995937,-2.410528
0.55219114,-1.0180463,-2.5526624
0.6922873,-1.320858,-2.7201912
0.7069099,-1.7177924,-2.8002903
0.7053713,-2.08889,-2.8924637
0.7202873,-2.4358764,-2.995876
0.7155825,-2.7180862,-3.0681157
0.69023675,-2.918627,-3.0900152
0.64437854,-3.034532,-3.037579
0.5748507,-3.0605006,-2.8851035
0.47005588,-2.9843872,-2.6132252
0.2695021,-2.7161832,-2.1382298
-0.009044707,-2.2531462,-1.4762853
-0.25203758,-1.7095969,-0.7138927
-0.57379204,-0.6248139,0.14982899
-0.39954877,0.60784936,0.48879108
-0.49076635,1.7180858,0.75198555
-0.5604886,2.1649907,1.0044886
-0.49901086,2.326445,1.1387466
-0.41892564,2.3014362,1.1424537
-0.35556507,2.0732539,1.012362
-0.3082736,1.6160213,0.76526254
-0.25837678,0.98791766,0.5269433
-0.20439166,0.25488508,0.33373287
0.12065226,0.03569661,0.0117402375
0.22742559,-0.12546459,-0.12038046
0.26172918,-0.18344018,-0.18290019
0.23661558,-0.17879647,-0.18632966
0.18750049,-0.13049886,-0.15023383
0.13020982,-0.0656195,-0.08727065
0.07903528,-0.00027248263,-0.0121952
0.038303286,0.054993868,0.06669778
0.009788275,0.096911356,0.14545827
-0.007779211,0.12479374,0.22348183
-0.015460402,0.14074309,0.30003247
-0.014927864,0.14868346,0.3737799
-0.007943004,0.15433003,0.4427209
