trajectory_ID,longitude,latitude,altitude,timestamp,Pressure_surface,Relative_humidity_isobaric,Temperature_isobaric,Wind_speed_gust_surface,u-component_of_wind_isobaric,v-component_of_wind_isobaric,drct,sknt,alti,vsby,gust,mode
20160411_VLG10KL_LEBL_LEMD,2.069610764,41.27925781,720,1460365483,98329.58,41.9,289.9,6.1,1.08,6.62,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.066649362,41.27636701,980,1460365488,98329.58,41.9,289.9,6.1,1.08,6.62,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.064503984,41.2731138,1180,1460365493,98329.58,41.9,289.9,6.1,1.08,6.62,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.063505586,41.2695226,1340,1460365498,98329.58,41.9,289.9,6.1,1.08,6.62,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.063027502,41.265291,1450,1460365503,98329.58,44.7,287.6,6.1,1.63,6.99,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.062351469,41.2612245,1550,1460365508,98329.58,44.7,287.6,6.1,1.63,6.99,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.061007973,41.257465,1640,1460365513,98329.58,44.7,287.6,6.1,1.63,6.99,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.058990552,41.25331241,1740,1460365518,98329.58,44.7,287.6,6.1,1.63,6.99,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.056496163,41.24918021,1840,1460365523,100913.58,51.6,286.2,4.2,-0.2,3.75,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.054226752,41.24489101,1940,1460365528,100913.58,51.6,286.2,4.2,-0.2,3.75,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.051471144,41.24053861,2040,1460365533,100913.58,51.6,286.2,4.2,-0.2,3.75,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.048481744,41.23615641,2100,1460365538,100913.58,51.6,286.2,4.2,-0.2,3.75,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.045349928,41.23151402,2140,1460365543,100913.58,46.7,284.6,4.2,1.78,4.26,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.041832521,41.22655402,2280,1460365548,100913.58,46.7,284.6,4.2,1.78,4.26,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.038214529,41.22163762,2520,1460365553,100913.58,46.7,284.6,4.2,1.78,4.26,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.034778729,41.21680402,2780,1460365558,100913.58,46.7,284.6,4.2,1.78,4.26,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.031090422,41.21141652,3050,1460365563,100913.58,40.8,283.2,4.2,4.23,5.49,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.027696411,41.20644952,3350,1460365568,100913.58,40.8,283.2,4.2,4.23,5.49,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.024626131,41.20200102,3620,1460365573,100913.58,40.8,283.2,4.2,4.23,5.49,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.021183127,41.19718222,3920,1460365578,100913.58,40.8,283.2,4.2,4.23,5.49,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.016604714,41.19299445,4220,1460365583,100913.58,41.5,280.1,4.2,8.55,8.84,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.010685721,41.18970765,4520,1460365588,100913.58,41.5,280.1,4.2,8.55,8.84,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,2.004804336,41.18679085,4860,1460365593,100913.58,41.5,280.1,4.2,8.55,8.84,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.998508358,41.18471806,5180,1460365598,100913.58,41.5,280.1,4.2,8.55,8.84,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.991660778,41.18354487,5420,1460365603,100913.58,41.5,280.1,4.2,8.55,8.84,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.984447016,41.18332467,5720,1460365608,100913.58,54.4,276.6,4.2,10.51,10.19,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.977364202,41.18365727,6100,1460365613,100913.58,54.4,276.6,4.2,10.51,10.19,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.970360212,41.18384307,6520,1460365618,100913.58,54.4,276.6,4.2,10.51,10.19,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.96329541,41.18420687,6780,1460365623,100913.58,54.4,276.6,4.2,10.51,10.19,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.9561852,41.18440767,7020,1460365628,100913.58,54.4,276.6,4.2,10.51,10.19,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.949361742,41.18354205,7320,1460365633,100913.58,42.4,274,4.2,11.7,11.4,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.943068358,41.18161886,7620,1460365638,100913.58,42.4,274,4.2,11.7,11.4,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.936640769,41.18024626,7880,1460365643,100913.58,42.4,274,4.2,11.7,11.4,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.930103355,41.17894386,8080,1460365648,100913.58,42.4,274,4.2,11.7,11.4,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.923569351,41.17727406,8320,1460365653,100913.58,42.4,274,4.2,11.7,11.4,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.917201945,41.17539725,8580,1460365658,100913.58,42.4,274,4.2,11.7,11.4,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.910909747,41.17339386,8780,1460365663,100913.58,42.4,274,4.2,11.7,11.4,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.904486142,41.17139966,8940,1460365668,100913.58,42.4,274,4.2,11.7,11.4,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.897938944,41.16936486,9120,1460365673,100913.58,23.7,271.7,4.2,14.2,14.7,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.891267935,41.16728107,9380,1460365678,100913.58,23.7,271.7,4.2,14.2,14.7,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.884412542,41.16514966,9540,1460365683,100913.58,23.7,271.7,4.2,14.2,14.7,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.877544137,41.16310067,9680,1460365688,100913.58,23.7,271.7,4.2,14.2,14.7,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.87052194,41.16104487,9920,1460365693,100913.58,23.7,271.7,4.2,14.2,14.7,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.863654946,41.15908626,10220,1460365698,100913.58,23.7,271.7,4.2,14.2,14.7,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.856858746,41.15721587,10520,1460365703,100913.58,23.7,271.7,4.2,14.2,14.7,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.849900345,41.15537747,10780,1460365708,100913.58,23.7,271.7,4.2,14.2,14.7,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.842933553,41.15362406,11060,1460365713,100913.58,13.5,268.6,4.2,17.45,17.18,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.836192152,41.15197306,11420,1460365718,100913.58,13.5,268.6,4.2,17.45,17.18,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.829543753,41.15029546,11680,1460365723,100913.58,13.5,268.6,4.2,17.45,17.18,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.82279415,41.14861006,11880,1460365728,100913.58,13.5,268.6,4.2,17.45,17.18,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.816093353,41.14689786,12120,1460365733,100913.58,13.5,268.6,4.2,17.45,17.18,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.809799159,41.14524565,12460,1460365738,100913.58,13.5,268.6,4.2,17.45,17.18,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.803673153,41.14359986,12780,1460365743,100913.58,13.5,268.6,4.2,17.45,17.18,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.797290751,41.14185946,12980,1460365748,100913.58,6.6,265.1,4.2,21.31,18.62,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.790882354,41.14011885,13180,1460365753,100913.58,6.6,265.1,4.2,21.31,18.62,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.784593355,41.13841385,13460,1460365758,100913.58,6.6,265.1,4.2,21.31,18.62,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.77767595,41.13656806,13800,1460365763,100913.58,6.6,265.1,4.2,21.31,18.62,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.771266944,41.13489908,14000,1460365768,100913.58,6.6,265.1,4.2,21.31,18.62,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.765451557,41.13342086,14140,1460365773,100913.58,6.6,265.1,4.2,21.31,18.62,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.759040757,41.13183166,14320,1460365778,100913.58,6.6,265.1,4.2,21.31,18.62,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.752586157,41.13026646,14580,1460365783,100913.58,6.6,265.1,4.2,21.31,18.62,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.746056554,41.12869186,14740,1460365788,100843.17,7.2,264.7,5,21.23,19.54,190,13,29.8,6.21,30,3
20160411_VLG10KL_LEBL_LEMD,1.739457157,41.12709966,14880,1460365793,100843.17,5.8,260.4,5,25.12,21.34,190,13,29.8,6.21,30,3
