trajectory_ID,longitude,latitude,altitude,timestamp,Pressure_surface,Relative_humidity_isobaric,Temperature_isobaric,Wind_speed_gust_surface,u-component_of_wind_isobaric,v-component_of_wind_isobaric,drct,sknt,alti,vsby,gust,Mode
8,2.111119,41.294838,600,1459837801,97834.336,94.4,287,10.2,-5.63,3.62,360,10,29.74,6.21,0,2
8,2.109888227,41.29660294,566.450686,1459837806,97834.336,94.4,287,10.2,-5.63,3.62,360,10,29.74,6.21,0,2
8,2.111561683,41.2945816,740.8708329,1459837811,97834.336,94.5,285.6,10.2,-5.84,3.79,360,10,29.74,6.21,0,2
8,2.113649895,41.29261672,916.4191894,1459837816,97834.336,94.5,285.6,10.2,-5.84,3.79,360,10,29.74,6.21,0,2
8,2.115950586,41.29069222,1091.846729,1459837821,97834.336,94.5,285.6,10.2,-5.84,3.79,360,10,29.74,6.21,0,2
8,2.118466879,41.2888373,1267.36719,1459837826,97834.336,94.5,285.6,10.2,-5.84,3.79,360,10,29.74,6.21,0,2
8,2.121203314,41.28707924,1443.191075,1459837831,97834.336,98.7,284,10.2,-8.73,6.83,360,10,29.74,6.21,0,2
8,2.124263741,41.2852771,1620.41861,1459837836,97834.336,98.7,284,10.2,-8.73,6.83,360,10,29.74,6.21,0,2
8,2.12753631,41.28360223,1798.501604,1459837841,97834.336,98.7,284,10.2,-8.73,6.83,360,10,29.74,6.21,0,2
8,2.131025682,41.28207459,1977.537479,1459837846,97834.336,98.7,284,10.2,-8.73,6.83,360,10,29.74,6.21,0,2
8,2.134735114,41.28070703,2157.622883,1459837851,97834.336,99.6,282.5,10.2,-8.64,8.77,360,10,29.74,6.21,0,2
8,2.138582092,41.27955328,2335.7871,1459837856,97834.336,99.6,282.5,10.2,-8.64,8.77,360,10,29.74,6.21,0,2
8,2.14266082,41.2785646,2515.360617,1459837861,97834.336,99.6,282.5,10.2,-8.64,8.77,360,10,29.74,6.21,0,2
8,2.146968273,41.27772251,2696.486317,1459837866,97834.336,99.6,282.5,10.2,-8.64,8.77,360,10,29.74,6.21,0,2
8,2.151498062,41.27700146,2879.343298,1459837871,97834.336,99.7,281.2,10.2,-6.75,11.1,360,10,29.74,6.21,0,2
8,2.156029846,41.27654881,3055.13595,1459837876,97834.336,99.7,281.2,10.2,-6.75,11.1,360,10,29.74,6.21,0,2
8,2.160782833,41.27617953,3233.595068,1459837881,97834.336,99.7,281.2,10.2,-6.75,11.1,360,10,29.74,6.21,0,2
8,2.165736851,41.27588865,3415.188051,1459837886,97834.336,99.7,281.2,10.2,-6.75,11.1,360,10,29.74,6.21,0,2
8,2.170872143,41.27568056,3600.469728,1459837891,97834.336,99.7,281.2,10.2,-6.75,11.1,360,10,29.74,6.21,0,2
8,2.176172667,41.27556335,3790.042166,1459837896,97834.336,99.7,281.2,10.2,-6.75,11.1,360,10,29.74,6.21,0,2
8,2.181630239,41.27553871,3984.475427,1459837901,97834.336,99.7,281.2,10.2,-6.75,11.1,360,10,29.74,6.21,0,2
8,2.187247874,41.27558922,4184.221869,1459837906,97834.336,99.3,279,10.2,-2.47,12.53,360,10,29.74,6.21,0,2
8,2.192754284,41.27549814,4387.023906,1459837911,97834.336,99.3,279,10.2,-2.47,12.53,360,10,29.74,6.21,0,2
8,2.198478011,41.27532697,4595.760919,1459837916,97834.336,99.3,279,10.2,-2.47,12.53,360,10,29.74,6.21,0,2
8,2.204416595,41.27496033,4811.19173,1459837921,97834.336,99.3,279,10.2,-2.47,12.53,360,10,29.74,6.21,0,2
8,2.210552886,41.27427531,5034.296526,1459837926,97834.336,99.3,279,10.2,-2.47,12.53,360,10,29.74,6.21,0,2
8,2.216848034,41.2732086,5265.524756,1459837931,97834.336,99.3,279,10.2,-2.47,12.53,360,10,29.74,6.21,0,2
8,2.223234809,41.27179693,5504.233201,1459837936,97834.336,99.3,279,10.2,-2.47,12.53,360,10,29.74,6.21,0,2
8,2.229614956,41.27011527,5749.126253,1459837941,97834.336,99.3,276.4,10.2,-3.66,10.14,360,10,29.74,6.21,0,2
8,2.236031387,41.26808128,6007.058314,1459837946,97834.336,99.3,276.4,10.2,-3.66,10.14,360,10,29.74,6.21,0,2
8,2.242043339,41.26576585,6268.162409,1459837951,97834.336,99.3,276.4,10.2,-3.66,10.14,360,10,29.74,6.21,0,2
8,2.247427667,41.26303337,6531.741943,1459837956,97834.336,99.3,276.4,10.2,-3.66,10.14,360,10,29.74,6.21,0,2
8,2.251976061,41.25971971,6797.234313,1459837961,100208.734,98.3,275.8,9.7,-4.26,11.15,360,10,29.74,6.21,0,2
8,2.253685322,41.25451467,7009.048041,1459837966,100208.734,98.3,275.8,9.7,-4.26,11.15,360,10,29.74,6.21,0,2
8,2.255158956,41.24924482,7227.053131,1459837971,100389.54,98.2,276.2,11.5,-3.7,10.17,360,10,29.74,6.21,0,2
8,2.256538553,41.24419049,7456.612236,1459837976,100389.54,99,273.5,11.5,-3.79,11.73,360,10,29.74,6.21,0,2
