trajectory_ID,longitude,latitude,altitude,timestamp,Pressure_surface,Relative_humidity_isobaric,Temperature_isobaric,Wind_speed_gust_surface,u-component_of_wind_isobaric,v-component_of_wind_isobaric,drct,sknt,alti,vsby,gust,,,,
20160414_VLG10CC_LEBL_LEMD,2.072988293,41.28202038,666.6666667,1460661534,98737.89,59.6,288.2,2.4,2.26,0.71,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.069417758,41.28021603,920,1460661539,98737.89,56.1,287.8,2.4,2.94,1.57,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.06664557,41.27793741,1120,1460661544,98737.89,56.1,287.8,2.4,2.94,1.57,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.064498222,41.27482101,1275,1460661549,98737.89,56.1,287.8,2.4,2.94,1.57,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.063938329,41.27171967,1500,1460661554,98737.89,48.3,287.9,2.4,5.23,3.53,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.064090608,41.26829,1600,1460661559,98737.89,48.3,287.9,2.4,5.23,3.53,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.064716818,41.264363,1660,1460661564,98737.89,48.3,287.9,2.4,5.23,3.53,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.065313759,41.25961425,1775,1460661569,98737.89,48.3,287.9,2.4,5.23,3.53,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.065919686,41.25569067,1933.333333,1460661574,98737.89,48.3,287.9,2.4,5.23,3.53,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.065868788,41.2516106,2060,1460661579,98737.89,48.3,287.9,2.4,5.23,3.53,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.064228739,41.24706581,2160,1460661584,101280.29,40.7,287.4,5,6.18,4.63,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.062142754,41.24251921,2200,1460661589,101280.29,40.7,287.4,5,6.18,4.63,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.059387121,41.23813282,2320,1460661594,101280.29,40.7,287.4,5,6.18,4.63,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.055797715,41.23393023,2520,1460661599,101280.29,40.7,287.4,5,6.18,4.63,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.052345523,41.22970822,2720,1460661604,101280.29,40.7,287.4,5,6.18,4.63,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.048805515,41.22550723,2920,1460661609,101280.29,40.6,286.4,5,4.44,3.18,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.044886107,41.22134863,3240,1460661614,101280.29,40.6,286.4,5,4.44,3.18,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.040936711,41.21719763,3460,1460661619,101280.29,40.6,286.4,5,4.44,3.18,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.036969906,41.21298783,3620,1460661624,101280.29,40.6,286.4,5,4.44,3.18,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.03204688,41.2077203,3775,1460661629,101280.29,40.6,286.4,5,4.44,3.18,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.027966538,41.20329405,3933.333333,1460661634,101280.29,40.6,286.4,5,4.44,3.18,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.023867085,41.19879384,4060,1460661639,101280.29,41.5,284.1,5,3.65,0.06,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.019407874,41.19383764,4160,1460661644,101280.29,41.5,284.1,5,3.65,0.06,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.014891673,41.18873124,4260,1460661649,101280.29,41.5,284.1,5,3.65,0.06,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.009248245,41.18403729,4540,1460661654,101280.29,41.5,284.1,5,3.65,0.06,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,2.002519061,41.1800989,4820,1460661659,101280.29,41.5,284.1,5,3.65,0.06,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,1.99529629,41.17701891,5020,1460661664,101280.29,41.5,284.1,5,3.65,0.06,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,1.986320421,41.17464941,5325,1460661669,101280.29,41.5,284.1,5,3.65,0.06,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,1.978855289,41.17361316,5733.333333,1460661674,101280.29,45.2,281.2,5,5.72,-0.81,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,1.971396371,41.17290173,6140,1460661679,101280.29,45.2,281.2,5,5.72,-0.81,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,1.963527959,41.17206013,6480,1460661684,101280.29,45.2,281.2,5,5.72,-0.81,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,1.954491228,41.17132015,6825,1460661689,101280.29,45.2,281.2,5,5.72,-0.81,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,1.947156988,41.17103749,7166.666667,1460661694,101280.29,45.2,281.2,5,5.72,-0.81,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,1.939836983,41.17071552,7480,1460661699,101280.29,49,277.7,5,6.69,-0.52,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,1.932072379,41.17025513,7720,1460661704,101280.29,49,277.7,5,6.69,-0.52,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,1.924202178,41.16975573,7860,1460661709,101280.29,49,277.7,5,6.69,-0.52,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,1.916119569,41.16914634,8140,1460661714,101280.29,49,277.7,5,6.69,-0.52,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,1.908089564,41.16837393,8360,1460661719,101280.29,49,277.7,5,6.69,-0.52,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,1.90008208,41.16640913,8580,1460661724,101280.29,49,277.7,5,6.69,-0.52,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,1.891797755,41.16474215,8820,1460661729,101280.29,49,277.7,5,6.69,-0.52,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,1.88328593,41.16346335,9080,1460661734,101280.29,44.5,274.3,5,7.69,0.08,250,3,29.94,6.21,0,,,,
20160414_VLG10CC_LEBL_LEMD,1.875038326,41.16186793,9380,1460661739,101280.29,44.5,274.3,5,7.69,0.08,250,3,29.94,6.21,0,,,,
