trajectory_ID,longitude,latitude,altitude,timestamp,Pressure_surface,Relative_humidity_isobaric,Temperature_isobaric,Wind_speed_gust_surface,u-component_of_wind_isobaric,v-component_of_wind_isobaric,drct,sknt,alti,vsby,gust,,,,
20160404_VLG10FG_LEBL_LEMD,2.061852756,41.27400682,1160,1459751335,98404.13,75,285.5,1.7,-0.33,1.2,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,2.059724155,41.27055361,1280,1459751340,98404.13,75,285.5,1.7,-0.33,1.2,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,2.059397802,41.2669632,1380,1459751345,98404.13,75,285.5,1.7,-0.33,1.2,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,2.060267226,41.262987,1560,1459751350,98404.13,80.6,283.6,1.7,0,2.03,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,2.061326226,41.2589682,1680,1459751355,98404.13,80.6,283.6,1.7,0,2.03,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,2.061570001,41.2546606,1780,1459751360,98404.13,80.6,283.6,1.7,0,2.03,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,2.061806007,41.2505008,1880,1459751365,98404.13,80.6,283.6,1.7,0,2.03,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,2.058517274,41.24574325,2060,1459751370,100933.734,81.9,284,3.2,-0.68,3.73,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,2.056423357,41.24121581,2100,1459751375,100933.734,81.9,284,3.2,-0.68,3.73,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,2.054480946,41.23684201,2180,1459751380,100933.734,64.6,283.3,3.2,-1.28,3.47,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,2.052109132,41.23234682,2280,1459751385,100933.734,64.6,283.3,3.2,-1.28,3.47,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,2.047797862,41.22766666,2380,1459751390,100933.734,64.6,283.3,3.2,-1.28,3.47,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,2.044187701,41.22280703,2480,1459751395,100933.734,64.6,283.3,3.2,-1.28,3.47,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,2.040676697,41.21803844,2660,1459751400,100933.734,64.6,283.3,3.2,-1.28,3.47,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,2.036869687,41.21328544,2860,1459751405,100933.734,64.6,283.3,3.2,-1.28,3.47,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,2.032807077,41.20840925,3220,1459751410,100933.734,59.9,282.4,3.2,-0.97,3.11,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,2.028872887,41.20362244,3460,1459751415,100933.734,59.9,282.4,3.2,-0.97,3.11,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,2.024949286,41.19886544,3660,1459751420,100933.734,59.9,282.4,3.2,-0.97,3.11,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,2.020910078,41.19397725,3940,1459751425,100933.734,59.9,282.4,3.2,-0.97,3.11,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,2.016632068,41.18900185,4240,1459751430,100933.734,62.8,279.7,3.2,3.21,4.89,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,2.010790668,41.18521771,4460,1459751435,100933.734,62.8,279.7,3.2,3.21,4.89,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,2.00450127,41.18182591,4580,1459751440,100933.734,62.8,279.7,3.2,3.21,4.89,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.99738629,41.17918415,4760,1459751445,100933.734,62.8,279.7,3.2,3.21,4.89,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.989366925,41.17749619,5040,1459751450,100933.734,62.8,279.7,3.2,3.21,4.89,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.981511165,41.17661397,5340,1459751455,100933.734,62.8,279.7,3.2,3.21,4.89,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.973704159,41.17577537,5560,1459751460,100933.734,62.8,279.7,3.2,3.21,4.89,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.965994555,41.17483336,6000,1459751465,100933.734,71.1,276.4,3.2,6.21,7.95,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.956666,41.174259,6600,1459751470,100933.734,71.1,276.4,3.2,6.21,7.95,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.950081815,41.17395752,6850,1459751475,100933.734,71.1,276.4,3.2,6.21,7.95,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.942690581,41.17356436,7060,1459751480,100933.734,71.1,276.4,3.2,6.21,7.95,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.935168779,41.17312116,7340,1459751485,100933.734,84.7,272.5,3.2,8.57,12.44,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.926053,41.172432,7700,1459751490,100933.734,84.7,272.5,3.2,8.57,12.44,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.919412131,41.17184719,7783.333333,1459751495,100933.734,84.7,272.5,3.2,8.57,12.44,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.911920757,41.17099816,7960,1459751500,100933.734,84.7,272.5,3.2,8.57,12.44,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.904422266,41.16845275,8160,1459751505,100933.734,84.7,272.5,3.2,8.57,12.44,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.894921,41.166962,8500,1459751510,100933.734,84.7,272.5,3.2,8.57,12.44,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.888150089,41.1657097,8750,1459751515,100933.734,84.7,272.5,3.2,8.57,12.44,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.880631923,41.16414956,8960,1459751520,100933.734,84.7,272.5,3.2,8.57,12.44,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.87296212,41.16244616,9160,1459751525,100933.734,93.4,269.2,3.2,11.31,14.84,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.863702,41.160248,9500,1459751530,100933.734,93.4,269.2,3.2,11.31,14.84,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.857116069,41.15863319,9666.666667,1459751535,100933.734,93.4,269.2,3.2,11.31,14.84,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.849670109,41.15675976,9860,1459751540,100933.734,93.4,269.2,3.2,11.31,14.84,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.841992308,41.15479456,10220,1459751545,100933.734,93.4,269.2,3.2,11.31,14.84,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.83317,41.151859,10700,1459751550,100933.734,93.4,269.2,3.2,11.31,14.84,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.826511579,41.15042253,10866.66667,1459751555,100933.734,97.4,266,3.2,13.79,13.71,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.819229501,41.14839595,10980,1459751560,100933.734,97.4,266,3.2,13.79,13.71,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.811737902,41.14624916,11160,1459751565,100933.734,97.4,266,3.2,13.79,13.71,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.802689,41.143661,11400,1459751570,100933.734,97.4,266,3.2,13.79,13.71,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.796142222,41.14180535,11483.33333,1459751575,100933.734,97.4,266,3.2,13.79,13.71,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.788512894,41.13966697,11500,1459751580,100933.734,97.4,266,3.2,13.79,13.71,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.779942468,41.13724441,11580,1459751585,100933.734,97.4,266,3.2,13.79,13.71,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.769612,41.134373,11800,1459751590,100933.734,97.4,266,3.2,13.79,13.71,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.762166028,41.13233824,11800,1459751595,100933.734,97.4,266,3.2,13.79,13.71,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.753705676,41.13006961,11880,1459751600,100933.734,97.4,266,3.2,13.79,13.71,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.744798871,41.12771542,11980,1459751605,100847.33,95.7,265.7,2.7,12.56,12.12,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.733964,41.124928,12100,1459751610,100847.33,95.7,265.7,2.7,12.56,12.12,350,4,29.71,2.49,0,,,,
20160404_VLG10FG_LEBL_LEMD,1.725987188,41.12293161,12266.66667,1459751615,100847.33,95.7,265.7,2.7,12.56,12.12,350,4,29.71,2.49,0,,,,
